,latitude,longitude,geometry,LSOA11CD,IMD19,stops&stations_within_1km,ors_isochrone_area,is_in_regent_street,log_per_sq_ft,log_sqft,log_population,log_park_distance,log_tube_station_distance,log_bus_stop_distance
332,51.51752,-0.17061,POINT (-0.17061 51.51752),E01033594,8369,90,1844.04,0,4.2642279738954265,6.1092475827643655,8.987910316063582,0.0,5.902687976717136,4.826071224749521
333,51.49229,-0.06156,POINT (-0.06156 51.49229),E01004042,2987,68,1694.4,0,4.159820144181012,6.066108090103747,9.52324272265638,5.828798547972468,6.473690058941985,4.667393529168224
334,51.499914,-0.095083,POINT (-0.095083 51.499914),E01003937,11190,135,2022.92,0,4.096009841541162,6.030685260261263,9.715938556457964,4.968771089997557,5.231375960794155,4.715906227582757
335,51.551197,-0.20047,POINT (-0.20047 51.551197),E01000873,26279,58,1819.53,0,3.6888794541139363,5.991464547107982,9.485858512867534,4.380775852772229,6.308316996859543,4.237867538974276
336,51.53,0.037896,POINT (0.037896 51.53),E01003492,10800,58,1877.17,0,3.765145809567386,5.926926025970411,9.985655845705205,5.475542625917242,6.431218354162873,4.020698022053802
337,51.425816,-0.018142,POINT (-0.018142 51.425816),E01003192,2371,51,1717.28,0,3.7042605561522386,5.877735781779639,7.460967752243923,4.400480313332128,7.480653886945906,4.809579339246051
338,51.580011,-0.120859,POINT (-0.120859 51.580011),E01001990,18313,64,1675.03,0,4.254477313726906,5.872117789475416,9.42661800673701,5.862863835813668,7.430956014215511,5.03967616288067
339,51.47998,0.06941,POINT (0.06941 51.47998),E01001703,7158,52,1682.63,0,3.6524747722201365,5.857933154483459,10.097020608272716,5.47302669033985,7.017201437024916,4.673015732883159
340,51.60445,-0.1121,POINT (-0.1121 51.60445),E01001969,9566,84,1743.28,0,4.06285389513073,5.840641657373398,9.530812428541264,3.341801171705499,6.672943922800245,5.038639490505853
341,51.508478,-0.008174,POINT (-0.008174 51.508478),E01004219,6380,85,1485.4,0,3.4974162394026984,5.808142489980444,9.568768378402552,4.1675950239616935,4.618185123065586,4.555034116494294
342,51.5892,-0.25391,POINT (-0.25391 51.5892),E01000516,14898,67,1732.16,0,3.7784916128036232,5.799092654460526,9.101359979127954,6.186311499267078,6.615127664137342,5.135445433575395
343,51.531898,-0.232921,POINT (-0.232921 51.531898),E01000531,10593,53,1647.76,0,4.061476958596484,5.736572297479192,9.696134300669835,5.547050688861243,6.346565753370922,4.8247072417081895
344,51.52004,-0.14225,POINT (-0.14225 51.52004),E01004765,15472,98,1906.74,1,4.530769863411841,5.726847747587197,8.887354385688052,5.3875637440622315,6.097242475636933,5.422480009168459
345,51.52333,-0.071384,POINT (-0.071384 51.52333),E01004317,9244,97,1920.77,0,4.845839264168119,5.645446897643238,9.576459479082871,4.293332023658551,6.802450317336714,5.427589702252176
346,51.54983,-0.15561,POINT (-0.15561 51.54983),E01000903,15302,77,1693.05,0,4.076350298849822,5.634789603169249,9.576781174308541,4.147253217877503,6.441424895102697,5.062341836418449
347,51.525327,-0.125486,POINT (-0.125486 51.525327),E01000853,7640,119,1874.25,0,4.507226541657965,5.598421958998375,10.115284979330255,3.671733295278966,6.421557225040877,5.223701573167247
348,51.539982,-0.106732,POINT (-0.106732 51.539982),E01002699,14586,89,1883.34,0,3.979494720543159,5.3706380281276624,9.685113857349672,4.463145685958674,6.616600517051383,5.683681802949198
349,51.608384,0.000412,POINT (0.000412 51.608384),E01004388,14955,12,1808.62,0,4.292785500895938,5.3230099791384085,8.702448773079874,5.798152819014124,7.754554443612709,4.037950562025936
350,51.52257,-0.18352,POINT (-0.18352 51.52257),E01004703,23871,79,1648.5,0,3.1441522786722644,5.267858159063328,9.173080774577716,4.817535864130423,4.366912996863833,5.021970803760001
351,51.52257,-0.18352,POINT (-0.18352 51.52257),E01004703,23871,79,1648.5,0,3.1441522786722644,5.267858159063328,9.173080774577716,4.817535864130423,4.366912996863833,5.021970803760001
352,51.55979,-0.11429,POINT (-0.11429 51.55979),E01002730,7841,64,1957.12,0,4.7526414653463,5.017279836814924,9.452312743256755,3.39047341829918,6.198539690243127,4.980038620118788
353,51.482571,-0.12334,POINT (-0.12334 51.482571),E01033207,4844,80,1950.6,0,4.199755076629969,4.90527477843843,9.763238791684081,0.0,5.879359113323674,4.7394388067931255
354,51.55559,-0.06623,POINT (-0.06623 51.55559),E01001765,3374,71,1989.62,0,2.954910279033736,9.073259831427816,9.586474845143998,2.9338568698359038,7.889638975872468,4.612840692292311
355,51.59243,0.02615,POINT (0.02615 51.59243),E01003668,25877,6,1637.81,0,3.351656936102019,7.804659297056102,8.93290825545249,5.589306464757314,7.205739105679167,6.753834572708934
356,51.5566,-0.055957,POINT (-0.055957 51.5566),E01001770,6158,73,1998.75,0,2.757475084429733,7.787796878181171,9.481280832440572,3.3762213955919784,8.067265093401486,6.386525721500753
357,51.561084,-0.074,POINT (-0.074 51.561084),E01001829,17491,60,2010.46,0,3.0855729775537806,7.734121303328305,9.668173363560841,3.221272949467922,7.53402520569995,4.396176057778301
358,51.569471,-0.008552,POINT (-0.008552 51.569471),E01004432,9936,54,1909.38,0,3.104586678466073,7.674152921281675,9.234056898593499,4.82084592245478,7.064588073008926,4.579647228757006
359,51.538245,-0.142439,POINT (-0.142439 51.538245),E01000863,6114,66,2010.37,0,4.575638383382054,7.579167967396076,9.148320276939748,5.12283238701307,4.771192969812543,3.98397150474073
360,51.42506,-0.1401,POINT (-0.1401 51.42506),E01004517,18989,82,1818.78,0,3.3813347525659037,7.333023014386481,9.60785865420739,6.216027091175606,7.4976951795630855,4.442533602510535
361,51.55994,-0.07383,POINT (-0.07383 51.55994),E01001831,8414,60,1948.24,0,2.922623801733353,7.317212408359839,9.661421723804045,4.557029810660157,7.578539256768814,4.39197696552705
362,51.488592,-0.134338,POINT (-0.134338 51.488592),E01004738,25164,100,1583.4,0,3.8097687713893897,7.272398392570047,9.773923138181173,3.8022081394209395,4.248209486939542,4.377767577753498
363,51.616817,-0.014669,POINT (-0.014669 51.616817),E01004414,13165,7,1548.09,0,2.800933195248924,7.197435354096591,8.733147763833294,5.4199153382955245,8.173750316246222,6.700706508999217
364,51.55914,-0.07444,POINT (-0.07444 51.55914),E01001830,6903,64,1896.89,0,3.1458749319837103,7.094234845924755,9.813829767805588,5.188614101456073,7.5905490474625905,5.054333149361975
