,latitude,longitude,per_sq_ft,sqft,geometry,LSOA11CD,population,IMD19,park_distance,tube_station_distance,bus_stop_distance,stops&stations_within_1km,ors_isochrone_area,is_in_regent_street,log_per_sq_ft,log_sqft,log_population,log_park_distance,log_tube_station_distance,log_bus_stop_distance
232,51.551766,-0.113597,35.0,1037.0,POINT (-0.113597 51.551766),E01033488,18310.14,6677,230.14,106.90054488487694,160.0528218414727,69,16352067.103270208,0,3.5553480614894135,6.9440872082295275,9.815210283734356,5.443023587547295,4.671893818030999,5.075486266415872
233,51.53113,-0.07692,43.82,1027.0,POINT (-0.07692 51.53113),E01001777,17845.55,6154,178.46,952.432215948346,83.78926035487792,89,19632370.343330473,0,3.7800903341673204,6.934397209928558,9.789509456407556,5.189952341869912,6.8590166134866255,4.428313668625195
234,51.539023,-0.07597,19.5,1011.0,POINT (-0.07597 51.539023),E01033707,12322.74,6864,37.01,1676.2960108292243,86.91901167219733,88,19446731.776085094,0,2.970414465569701,6.918695219020472,9.419201614957123,3.6378492830011573,7.4243442626372325,4.464988155388229
235,51.47771,-0.20172,49.11,1008.0,POINT (-0.20172 51.47771),E01001950,13951.76,24876,329.79,273.67191724796834,113.68415045527308,72,17482966.20839814,0,3.894062680051153,6.915723448631314,9.543360944165945,5.801483732946538,5.611923000978106,4.733387483788845
236,51.544655,-0.046534,15.0,1000.0,POINT (-0.046534 51.544655),E01001730,21375.1,2897,225.44,2036.1854766355625,135.15097104732038,73,19587611.552173223,0,2.70805020110221,6.907755278982137,9.96998197215659,5.422480009168459,7.618835693552107,4.906385272722456
237,51.536442,-0.022898,91.2,1000.0,POINT (-0.022898 51.536442),E01032764,8116.34,12594,47.63,744.6539413878745,90.2793489833811,62,18368792.83686186,0,4.513054897080286,6.907755278982137,9.001634592626147,3.8842406244156944,6.6129143093318765,4.502915951949335
238,51.551766,-0.113597,35.0,994.0,POINT (-0.113597 51.551766),E01033488,18310.14,6677,230.14,106.90054488487694,160.0528218414727,69,16352067.103270208,0,3.5553480614894135,6.901737206656574,9.815210283734356,5.443023587547295,4.671893818030999,5.075486266415872
239,51.516625,-0.139064,55.0,990.0,POINT (-0.139064 51.516625),E01004765,7239.84,15472,258.89,249.8625480044395,142.1097225854089,127,19121931.55574685,1,4.007333185232471,6.897704943128636,8.887354385688052,5.5602584645701585,5.520900761003683,4.95660140560377
240,51.596097,-0.071903,27.81,989.0,POINT (-0.071903 51.596097),E01001978,14122.54,4152,296.07,1202.2945192307243,57.89378211586544,92,19547824.240404494,0,3.3253956682458736,6.8966943316227125,9.555527381555116,5.693967801267809,7.0919833505546075,4.058544658090914
241,51.55514,-0.14478,57.9,989.0,POINT (-0.14478 51.55514),E01000928,6784.16,14085,131.83,479.8879983098465,109.51923342113024,69,18807199.6756103,0,4.05871738457895,6.8966943316227125,8.82234576209928,4.8890701151444125,6.173556910972577,4.696107180980193
